id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_living15,sqft_lot15,price_cat
7922800400,5,3.25,3.25,14.342,2,0,2.96,11.044,low
1516000055,3,2.25,2.15,21.235,1,0,2.57,18.9,low
2123039032,1,0.75,0.76,10.079,1,1,1.23,14.267,low
9297300045,3,2,1.97,4.166,2,0,2.39,4.166,low
1860600135,5,2.5,3.65,9.05,2,0,2.88,5.4,high
1560930070,4,3.5,2.84,40.139,1,0,3.18,36.852,low
2122039094,3,3,1.97,20.978,2,1,2.28,75.396,low
622049114,3,2.5,5.403,24.069,2,1,3.98,104.374,high
1373800295,3,3,4.38,6.32,2,0,3.08,7.68,high
2998800125,2,2.25,2.13,4.92,1.5,0,2.13,4.92,low
3760500116,3,2.5,3.93,55.867,1,1,2.73,26.324,high
1959701890,4,1.75,1.8,4.18,2,0,2.18,4.62,low
1742800060,3,1.75,1.97,7.972,1,0,2.46,9.796,low
579003610,3,1.5,1.43,5.2,1,0,2.21,6.24,low
1563102435,3,1.75,2.15,4.2,1,0,2.51,7.5,low
7855801610,4,2.5,3.19,8.684,1,0,3.16,8.684,high
623069068,3,1,1.52,213.444,1.5,0,2.64,213.444,low
4441300240,3,2,3.66,22.41,1,0,2.68,8.25,high
1455100116,3,1.25,1.51,13.737,1,0,2.56,10.202,low
5700004028,4,4.25,4.25,6.552,2,0,3.64,8.841,high
3524039204,4,2.75,2.84,11.9,1,0,2.79,10.07,low
7855300200,4,2.75,2.68,8.5,1,0,2.94,8.65,high
7567600045,2,1,1.15,12.775,1,1,2.44,11.852,low
4055701200,4,2.75,3.12,7.898,1,1,2.63,13.868,high
3523029041,2,0.75,0.44,8.313,1,1,0.88,26.289,low
3885804305,4,1.75,2.49,7.834,1,0,3.21,7.834,low
7893804340,4,2.5,2.68,8.062,1,0,1.92,8.6,low
7558700030,6,6,7.39,24.829,2,1,4.32,24.619,high
1925069082,5,4.25,4.64,22.703,2,1,3.14,14.2,high
1370801331,4,2.5,4.04,9.63,1,0,3.16,8.025,high
4444800045,4,1.75,1.62,7.56,1,0,2.17,8.65,low
5700003985,4,3.5,4.44,8.125,2,0,3.99,8.505,high
7784400060,3,2.5,2.37,9,1,0,2.12,9.5,low
625059051,4,2.25,4.37,22.863,2.5,0,2.98,22.863,high
9322800260,4,1.75,2.03,5.688,2,0,2.32,11.107,low
7015200335,4,3.25,3.62,5.131,2,0,2.55,5.174,high
7855000550,4,2.5,3.83,13.8,1,0,3.46,9.875,high
290000055,2,1,2.02,7.2,1,0,2.02,7.2,low
6738700320,4,3.5,3.19,6,1.5,0,2.84,4,high
627300105,4,3,2.9,10.4,1,0,2.82,10.4,low
1922039062,2,1.5,1.008,26.487,1,1,1.132,24.079,low
3623500260,3,1.75,1.56,8.078,1.5,1,2.89,16.71,high
8106100105,4,4.25,5.77,21.3,2,1,4.62,22.748,high
2175100270,3,1.75,2.64,8,1,0,2.74,6,high
4219400520,4,2.25,3.04,5,2,0,2.87,5,high
1224059053,5,2,2.5,15.25,2,1,1.88,18.782,high
3294700030,3,1.75,1.39,8.7,1,0,1.39,10.875,low
3343301920,3,2.75,2.69,8.89,2,1,2.94,8.89,high
2817100570,4,2.75,2.3,37.533,1,0,2.13,10.092,low
4139420370,4,5,6.055,21.63,1,0,4.89,19.223,high
7856640560,5,3.5,3.88,13.885,2,0,3.69,13.885,high
